names,awb,addresses,product_id
Amanda Samuelson,64043542874,"14, The Park 14/7, 7, Mahatma Gandhi Rd, Ashok Nagar, Bengaluru, Karnataka 560042",SKU_128
Agatha Pierce,54436379564,"16/3, Church St, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",SKU_148
James Quintero,94027156715,"41, Dickenson Rd, Halasuru, Yellappa Garden, Rukmani Colony, Sivanchetti Gardens, Bengaluru, Karnataka 560042",SKU_95
Valerie Eason,31727638168,"XJ8R+969, Unnamed Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru, Karnataka 560008",SKU_143
Jimmie Rockwell,55329235228,"41/3, Mahatma Gandhi Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001",SKU_105
Daniel Wells,52890041286,"2nd Floor, Outer Ring Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",SKU_125
Aurelia Conner,47314531505,"23, Woods street, Ashok Nagar, Bangalore - 25 (Off brigade Road), Ashok, Nagar,, Bengaluru, Karnataka 560001",SKU_39
Debra Thompson,43364682408,"3rd Floor, No. 776, 100 Feet Rd, above Lakeview Milk Bar, HAL 2nd Stage, Doopanahalli, Indiranagar, Bengaluru, Karnataka 560008",SKU_126
Carol Ross,84742782229,"Ashok Nagar, Bengaluru, Karnataka 560025",SKU_89
Matthew Bell,75043683188,"14, The Park Hotel, 7, Mahatma Gandhi Rd, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042",SKU_87
Michael Brown,41784177761,"14, The Park Hotel, 7, Mahatma Gandhi Rd, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042",SKU_40
Justin Gosa,54110795499,"Comfort Gardenia, Flat #203, 68/D1, Bengaluru, Karnataka 560008",SKU_141
Paul Rodriguez,96281044667,"954, 12th Main Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008",SKU_126
Wendell Coleman,76173276804,"XJ9X+CJQ, Jeevan Bima Nagar Main Rd, HAL 3rd Stage, Kodihalli, Bengaluru, Karnataka 560008",SKU_10
Terry Cooper,70997439120,"#14, 2nd Floor, 10th Main Rd, Above Peeto, HAL 3rd Stage, Jeevan Bima Nagar, Bengaluru, Karnataka 560075",SKU_133
Patsy Dant,70116116159,"No. 2/1, Brunton Road, Off MG Road, Opp Old Passport Office, Bengaluru, Karnataka 560001",SKU_150
