names,awb,addresses,product_id
Monty Montgomery,44478823594,"Building No 88, Celler Floor, 17th Cross, 14th Main Rd, near YES Bank ATM, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",SKU_77
Dina Lofton,42066842945,"BUILDING # 86, Shop # 3, WOW VADA PAV & CHAAT CHATORE CAFE, 1st Cross BETWEEN 17TH Main Road & 17th B MAIN ROAD, Near Bajaj Kawasaki Service Center, off 100 Feet Road , HAL 2ND STAGE, Indiranagar, Bangalore",SKU_123
Jeremy Godbee,42163845975,"Opposite Snap Fitness, 12th Main Road, 4th Cross, HAL 2nd Stage, Indiranagar, Bangalore",SKU_4
Ginette Bruce,67625658469,"49/1, 14th A Cross, 2nd Stage, Indiranagar, Bangalore",SKU_149
Carissa Schafer,66051662444,"46, 9th Main, 80 Feet Road, HAL 3rd Stage, Indiranagar, Bangalore",SKU_75
Traci Sanders,43530130418,"618, 2nd Main Road, Binnamangala, Hoysala Nagar, Indiranagar, Bangalore",SKU_45
Shirley Arrington,85522598355,"WJ7V+3WW, 19th Main Rd, Vanganahalli, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_55
Karissa Conklin,41166134382,"149, 5th Main Rd, Teacher's Colony, Jakkasandra, Sector 6, HSR Layout, Bengaluru, Karnataka 560034",SKU_49
Amy Dora,33056219253,"403, 15th Cross Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_68
Bruce Markle,31979659724,"1st Stage, Indiranagar, Bangalore",SKU_136
Maria Petree,36370094601,"621/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",SKU_101
Thelma Tippins,92874459409,"52/2, Begur Rd, Bommanahalli, Bengaluru, Karnataka 560068",SKU_102
Danny Dismuke,33699250921,"79, Kudlu Main Road, Post, opposite Sbi Bank, Bommanahalli, Bengaluru, Karnataka 560068",SKU_89
Edward Palacios,26791072523,"Muniswamy Layout, Phase 2, Electronic City, Bengaluru, Karnataka 560100",SKU_92
Robert Cordes,50585640990,"WJ8P+35P, 169/A/170, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_82
Maria Mcgowan,96623082450,"6/78, Hosur Rd, Muniswamy Layout, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",SKU_116
Jo West,49964991660,"38, 1st Main 1st Cross Rd, Lakedew, 1st Block Koramangala, HSR Layout, Bengaluru, Karnataka 560034",SKU_131
Joseph George,41348425074,"RMQ7+W62, No 104, Ground Floor, Doddathogur, Electronic City, Indra Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",SKU_133
Thomas Huff,61492773978,"Plot No 30, Ground & 1st Floor, 14th Main Rd, opposite BDA Complex, Sector 4, HSR Layout, Bengaluru, Karnataka 560094",SKU_142
Tillie Rizzuti,88501553592,"RMWC+PV9, Dharmapuri-Bengaluru Rd, Near BMTC Bus Stop, Phase 2, Electronic City, Bengaluru, Karnataka 560100",SKU_3
Cecilia Reavis,37869277358,"4th Floor, Hotel Astra, Near Velankani Bus Stop Doddathogur, Electronic City, Bengaluru, Karnataka 560100",SKU_91
Carmela Booth,38299258164,"VJV9+5XF, Devarachikkanahalli Main Rd, Maruthi Layout, Royal Shelters, Stage 4, Bommanahalli, Bengaluru, Karnataka 560076",SKU_40
Margaret Kossman,40425782489,"1005, 9th Main Road, 18th Cross Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102",SKU_69
Lisa Vallot,51088712700,"1198, 23rd Cross Rd, Parangi Palaya, BDA Layout, HSR Layout, Bengaluru, Karnataka 560102",SKU_99
Arthur Tongate,69049281112,"355, 14th B Cross Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_108
Nicholas Swain,38057108663,"near Tech Mahindra, Anand Reddy Layout, Shanthi Pura, Phase 2, Electronic City, Bengaluru, Karnataka 560100",SKU_35
Francis Dodson,98583366728,"AECS Layout - A Block, AECS Layout, Singasandra, Bengaluru, Karnataka 560068",SKU_107
Joyce Saska,33445372251,"No. 47/14, Electronic City, Phase 1, Near Velankani Bus Stop, Bengaluru, Karnataka 560100",SKU_53
Lonnie Perkins,16357446742,"#1543, 7th Cross, 19th Main, Opp BMTC Bus Depot, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_84
Michael Ponce,53260624465,"2630, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_129
Brendan Dunlap,19283004068,"237-240, Ground Floor, 13th Cross, 2nd Stage, Off Double Road, Indiranagar, Bangalore",SKU_90
Michael Lachance,98187674820,"307, 2nd Floor, 1st Stage, K.P. Square, 100 feet Road, Indiranagar, Bangalore",SKU_84
Ora Newton,16547739987,"204, 5th Main, 7th Cross, 1st Stage, Off 100 Feet Road, Indiranagar, Bangalore",SKU_4
Rudy Marasco,59988353484,"22, District, 23b, Mangammanapalya Main Rd, Bommanahalli, Bengaluru, Karnataka 560068",SKU_111
Todd Hirsh,56064154800,"Near Paringi Palya Bus Stop, Sector 2, HSR Layout, No.16, 24th Main Rd, Bengaluru, Karnataka 560102",SKU_104
Jane Williams,27499420970,"79, 1st Main Rd, Muneswara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_89
Dianna Turner,69092989771,"73, 27th Main Rd, Phase 3, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",SKU_94
Cynthia Melancon,90123456391,"Infosys, 4th Gate, Electronic City, Bengaluru, Karnataka 560100",SKU_96
James Parkins,42138616719,"Bengaluru, Karnataka 560100",SKU_29
Cindy Russey,46061188234,"43, 22nd Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",SKU_4
Linda Hernandez,95584923786,"418, 5th Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",SKU_134
Eddie Lopez,25008408211,"1st Main Rd. Muneshwara Nagar, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",SKU_139
Aldo Wadding,20571316673,"710, Varthur Rd, Whitefield, Ramagondanahalli, Brookefield, Bengaluru, Karnataka 560066",SKU_32
Charlie Collins,58411904166,"Hulimangala Rd, near Yogesh Minerals, Electronics City Phase 1, RR Nagar, Karnataka 560100",SKU_53
Kimberly Anthony,95430147281,"144-C/1, Kirloskar Rd, Bommasandra Industrial Area, Bengaluru, Karnataka 560099",SKU_60
Christopher Speth,75553866960,"Ground Floor, No. 145, Jakkasandra, 1st Sector, HSR Layout 5th Sector, Bengaluru, Karnataka 560034",SKU_63
Clifford Pace,24696344610,"3rd Floor, Florus, Neeladri Nagar, Electronics City Phase 1, Bengaluru, Karnataka 560100",SKU_14
